path,source_ids,source_sha256,role,caption_zh,caption_en,photographer,rights_status,publication_ready,width,height,upscaled,requested_long_edge,size_bytes,sha256,creator,sequence,project,event,source_in,source_out,duration,audio,source_time,edits,fps,frames,fallback
assets/works/atmospheric-escape/atmospheric-escape-entropy-orbit-panorama-photo-arcky-hero.avif,"[""M0001""]","[""6c3bdec5686803d900d081bd7c356f65d50770d68f6fd7744af9999b16730274""]",hero,环绕屏幕中的轨道图形与现场表演者。,Orbital graphics and performers within the wraparound screen.,arcky,photographer-credit-required,False,2400,1350,False,2400,155232,65e2ed040ee55f74d302554472593a11f0737b0c0d815400deaf23eaae18018d,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-orbit-panorama-photo-arcky-preview.avif,"[""M0001""]","[""6c3bdec5686803d900d081bd7c356f65d50770d68f6fd7744af9999b16730274""]",preview,环绕屏幕中的轨道图形与现场表演者。,Orbital graphics and performers within the wraparound screen.,arcky,photographer-credit-required,False,1600,900,False,1600,90994,d5adcbb1a5ed53bcf4a06fb21647b1bc910f8ff42e112cadb755b68c170bff51,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-orbit-panorama-photo-arcky-thumb.avif,"[""M0001""]","[""6c3bdec5686803d900d081bd7c356f65d50770d68f6fd7744af9999b16730274""]",thumb,环绕屏幕中的轨道图形与现场表演者。,Orbital graphics and performers within the wraparound screen.,arcky,photographer-credit-required,False,640,360,False,640,27165,593cec410ee73ed74b72aafde42643735dab55e65c642c58ddf6db8b80204725,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-audience-orbit-photo-hejian-z-hero.avif,"[""M0002""]","[""86ff092ce0e2f9f8b42c3c399106c4f90ecebf342be83393f80610e0f838f658""]",hero,观众视角下的轨道图形与顶部屏幕。,Orbital graphics and overhead screen seen from the audience.,Hejian_z,photographer-credit-required,False,2400,1800,False,2400,146701,6c477bca1281fb5f2b9bfe7d09c4b50d12786f3fd50735acddf339fedcecdebd,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-audience-orbit-photo-hejian-z-preview.avif,"[""M0002""]","[""86ff092ce0e2f9f8b42c3c399106c4f90ecebf342be83393f80610e0f838f658""]",preview,观众视角下的轨道图形与顶部屏幕。,Orbital graphics and overhead screen seen from the audience.,Hejian_z,photographer-credit-required,False,1600,1200,False,1600,89047,3f4babccb5101e27f9e7be2e8bd9886ba3116d88f6e52b4496dda7206f76a611,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-audience-orbit-photo-hejian-z-thumb.avif,"[""M0002""]","[""86ff092ce0e2f9f8b42c3c399106c4f90ecebf342be83393f80610e0f838f658""]",thumb,观众视角下的轨道图形与顶部屏幕。,Orbital graphics and overhead screen seen from the audience.,Hejian_z,photographer-credit-required,False,640,480,False,640,25112,489b90168abbbc10b6518b43e124bcc1afdbe92dcdb359bd2f17fed68edf763f,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-spacecraft-portrait-hero.avif,"[""M0024""]","[""79eec45e2d380c4d0147542b0514534752cca36855f2c582404562197bf327f3""]",hero,竖向构图中的航天器结构与表演者。,Spacecraft structures and performers in a portrait composition.,unknown,unknown,False,1800,2400,False,2400,158182,ed4791ca0fadf1f6ff276419632c2a88ae4b8b21cfc384749063653a9ab92317,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-spacecraft-portrait-preview.avif,"[""M0024""]","[""79eec45e2d380c4d0147542b0514534752cca36855f2c582404562197bf327f3""]",preview,竖向构图中的航天器结构与表演者。,Spacecraft structures and performers in a portrait composition.,unknown,unknown,False,1200,1600,False,1600,74050,893953d93184dc88a5a8aa59157bbcc299733cd97a2d715816b2c4a7e9d4bac1,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-spacecraft-portrait-thumb.avif,"[""M0024""]","[""79eec45e2d380c4d0147542b0514534752cca36855f2c582404562197bf327f3""]",thumb,竖向构图中的航天器结构与表演者。,Spacecraft structures and performers in a portrait composition.,unknown,unknown,False,480,640,False,640,15641,8519a9093fc05827670e994c7dee5ef08e6cd13f1a3278be8586bf9519edbc0c,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-particle-panorama-hero.avif,"[""M0027""]","[""7a4bd16d8c0d6ff80066b34f4b3145d3e8c3b656bd1bf92c039b25ec66a3c921""]",hero,粒子形态延伸至正面与顶部屏幕。,Particle forms extend across the front and overhead screens.,unknown,unknown,False,2400,1800,False,2400,86666,ec52b98042e699c7bf739a3b99363bcdabf91b7251e8d65f4c25494747d926ac,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-particle-panorama-preview.avif,"[""M0027""]","[""7a4bd16d8c0d6ff80066b34f4b3145d3e8c3b656bd1bf92c039b25ec66a3c921""]",preview,粒子形态延伸至正面与顶部屏幕。,Particle forms extend across the front and overhead screens.,unknown,unknown,False,1600,1200,False,1600,51788,f4c3a4b10480ab4153d172f7f8fd30ecb2003d42d3308d7bcb6971e8601977fd,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/atmospheric-escape/atmospheric-escape-entropy-particle-panorama-thumb.avif,"[""M0027""]","[""7a4bd16d8c0d6ff80066b34f4b3145d3e8c3b656bd1bf92c039b25ec66a3c921""]",thumb,粒子形态延伸至正面与顶部屏幕。,Particle forms extend across the front and overhead screens.,unknown,unknown,False,640,480,False,640,13414,6af30d73e313553770b9c16142e4880443c40bb8b0690cc06f97831767f3f9b8,unknown,unknown,ATMOSPHERIC ESCAPE,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/events/entropy-2026-09-05/entropy-live-performers-photo-hejian-z-hero.avif,"[""M0012""]","[""17b667c676a1a6c0ef2471eabafb042268083b7400c2a4c164565d6ceff0953b""]",hero,ENTROPY 现场的双人操作。,Two performers operating their setups at ENTROPY.,Hejian_z,photographer-credit-required,False,1800,2400,False,2400,335454,e1aa9da9f4bfd0ee1f88664e6bd043d10f4e6d34fb64c38e45e3ddd7645b6a02,unknown,unknown,unknown,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/events/entropy-2026-09-05/entropy-live-performers-photo-hejian-z-preview.avif,"[""M0012""]","[""17b667c676a1a6c0ef2471eabafb042268083b7400c2a4c164565d6ceff0953b""]",preview,ENTROPY 现场的双人操作。,Two performers operating their setups at ENTROPY.,Hejian_z,photographer-credit-required,False,1200,1600,False,1600,149082,e8abbb0e548418d65f68aa09aada03819fa4f3d5fc524fff0c6676bdf944faf8,unknown,unknown,unknown,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/events/entropy-2026-09-05/entropy-live-performers-photo-hejian-z-thumb.avif,"[""M0012""]","[""17b667c676a1a6c0ef2471eabafb042268083b7400c2a4c164565d6ceff0953b""]",thumb,ENTROPY 现场的双人操作。,Two performers operating their setups at ENTROPY.,Hejian_z,photographer-credit-required,False,480,640,False,640,30415,bbafcc2ab474891df87e6106f2fce4b6b69ac6f991f3b8151b7b9ce375dd3319,unknown,unknown,unknown,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-pointcloud-panorama-photo-hejian-z-hero.avif,"[""M0010""]","[""87468a0da0d5225fbf44609b13c4717300ba00e9267d131070f6b653af8ac302""]",hero,工厂点云在 ENTROPY 现场环绕屏幕中的呈现。,Factory point-cloud imagery across the wraparound screens at ENTROPY.,Hejian_z,photographer-credit-required,False,2400,1800,False,2400,316811,1fc04bb807d15ae2f628ea1bad0b55e029b192fea62b0ec0c9ed15c0f0ababd7,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-pointcloud-panorama-photo-hejian-z-preview.avif,"[""M0010""]","[""87468a0da0d5225fbf44609b13c4717300ba00e9267d131070f6b653af8ac302""]",preview,工厂点云在 ENTROPY 现场环绕屏幕中的呈现。,Factory point-cloud imagery across the wraparound screens at ENTROPY.,Hejian_z,photographer-credit-required,False,1600,1200,False,1600,188745,beb11416a520cec0c890bd154de4d3022a343f31da7538eab5cae3b0327c4103,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-pointcloud-panorama-photo-hejian-z-thumb.avif,"[""M0010""]","[""87468a0da0d5225fbf44609b13c4717300ba00e9267d131070f6b653af8ac302""]",thumb,工厂点云在 ENTROPY 现场环绕屏幕中的呈现。,Factory point-cloud imagery across the wraparound screens at ENTROPY.,Hejian_z,photographer-credit-required,False,640,480,False,640,54077,e38e81a562b11f52d3c67601ba23319ed1b236eb36c2440526b757120352f881,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-hall-depth-photo-hejian-z-hero.avif,"[""M0014""]","[""e9c2ac927ad969fd4d0010685b14b0d65c0537a6f47284422f6fded5defd6726""]",hero,厂房点云的纵深结构与现场表演者。,The depth of the factory point cloud alongside live performers.,Hejian_z,photographer-credit-required,False,2400,1800,False,2400,117827,457429ffd067a846d79b42f4c0b89763887b5d59b02b340fe60e44d062d65e05,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-hall-depth-photo-hejian-z-preview.avif,"[""M0014""]","[""e9c2ac927ad969fd4d0010685b14b0d65c0537a6f47284422f6fded5defd6726""]",preview,厂房点云的纵深结构与现场表演者。,The depth of the factory point cloud alongside live performers.,Hejian_z,photographer-credit-required,False,1600,1200,False,1600,80328,7d9b46fa78c5d89d28ec964a401eac043540b90031ce3039601abcc5053f625d,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/library/scans/factory/memory-factory/memory-factory-entropy-hall-depth-photo-hejian-z-thumb.avif,"[""M0014""]","[""e9c2ac927ad969fd4d0010685b14b0d65c0537a6f47284422f6fded5defd6726""]",thumb,厂房点云的纵深结构与现场表演者。,The depth of the factory point cloud alongside live performers.,Hejian_z,photographer-credit-required,False,640,480,False,640,27940,bd416bb30dd5ae8c9f37b9d1fd7e587972e83fca2a886653a6522d90a760eaba,unknown,unknown,Personal Scan Library / Factory Scans / Memory Factory,ENTROPY 2026.09.05 Shanghai,,,,,,,,,
assets/works/no-further-input-required/no-further-input-required-exhibition-photo-longlonglong-hero.avif,"[""M0046""]","[""a2ed11de4a68c0acdb1b690b14b21a65f7cdd48f3aef53de18617f33a07e2d49""]",hero,《无需进一步输入》的展陈与作品标签。,No Further Input Required on display with its artwork label.,longlonglong,photographer-credit-required,False,1440,1920,False,2400,159598,59d58a98faa82a68fe60fc00e3f0b3812f9de95e314507c1fd0edab30296b0b7,unknown,unknown,No Further Input Required,Entangled: Day for Night / Inclusion Conference 2026,,,,,,,,,
assets/works/no-further-input-required/no-further-input-required-exhibition-photo-longlonglong-preview.avif,"[""M0046""]","[""a2ed11de4a68c0acdb1b690b14b21a65f7cdd48f3aef53de18617f33a07e2d49""]",preview,《无需进一步输入》的展陈与作品标签。,No Further Input Required on display with its artwork label.,longlonglong,photographer-credit-required,False,1200,1600,False,1600,124877,99c1c73400c23fbf8c1668c202246d7e859f5d4dd549c7f7ad062d67b88af7a7,unknown,unknown,No Further Input Required,Entangled: Day for Night / Inclusion Conference 2026,,,,,,,,,
